id,name,type,description,model,prompt_template,configuration,is_active,execution_count,avg_execution_time_ms,last_execution_at,created_at,created_by,updated_at,agent_id,role,specialty,knowledge_sources,system_prompt,icon,color
2288cee5-dd0b-4cfe-bf57-1ad2dc639b4b,Sra. Marketing,specialist,"Especialista em marketing de serviços contábeis. Cria campanhas de indicação, produz conteúdo de treinamento, gerencia vídeos para TVs e coordena toda comunicação de vendas.",gemini-2.5-flash,,{},true,0,,,2025-11-30 11:37:27.789918+00,,2025-11-30 11:37:27.789918+00,marketing,Gerente de Marketing IA,Marketing e Comunicação,"[""Marketing Digital"",""Campanhas"",""Treinamento"",""Vídeos"",""Comunicação Interna""]",,Megaphone,pink
275193ac-4b47-46c9-892b-5846c060389b,Sr. Empresário,specialist,"Especialista em estruturação de empresas, sociedades, holdings e planejamento tributário. Encontra soluções criativas dentro da lei para otimizar custos.",gemini-2.5-flash,,{},true,0,,,2025-11-30 11:36:03.188673+00,,2025-11-30 11:36:03.188673+00,empresario,Estrategista Empresarial IA,Estruturação Societária,"[""Código Civil"",""Lei das S/A"",""Simples Nacional"",""Holdings"",""Terceirização""]",,Building,amber
29d731f3-06d2-4f87-a847-6d17512e1f50,Atlas,specialist,Sistema de aprendizado e classificação automática,gemini-2.5-flash,,{},true,0,,,2025-11-30 11:36:03.188673+00,,2025-11-30 11:36:03.188673+00,atlas,Rede Neural,Machine Learning,"[""Padrões de Dados"",""Classificação""]",,Network,orange
3d29a387-5269-4a69-9384-9f6661d752ae,Otimizador de Preços,pricing_optimizer,Sugere honorário ideal para cada cliente,gemini-2.5-flash,"Baseado na complexidade e mercado, sugira o honorário ideal para este cliente.","{""model"":""gemini-2.5-flash"",""temperature"":0.6}",true,0,,,2025-11-28 12:57:40.528583+00,,2025-11-28 12:57:40.528583+00,,,,,,,
4116555a-8bc4-4843-840b-fd96c8ae6098,Prof. Milton,specialist,Especialista em finanças empresariais e análise financeira,gemini-2.5-flash,,{},true,0,,,2025-11-30 11:36:03.188673+00,,2025-11-30 11:36:03.188673+00,milton,MBA Finanças,Finanças,"[""Análise Financeira"",""Gestão de Fluxo de Caixa""]",,Brain,purple
724cf9ae-3e07-4961-be41-a1b9732843ed,Classificador de Despesas,expense_classifier,Classificação automática de despesas no plano de contas,gemini-2.5-flash,Classifique a despesa no plano de contas correto baseado na descrição.,"{""model"":""gemini-2.5-flash"",""temperature"":0.3}",true,0,,,2025-11-28 12:57:40.528583+00,,2025-11-28 12:57:40.528583+00,,,,,,,
738f5989-9b1b-4cae-9886-40e6cf7aab18,Dra. Helena,specialist,Especialista em gestão empresarial e processos,gemini-2.5-flash,,{},true,0,,,2025-11-30 11:36:03.188673+00,,2025-11-30 11:36:03.188673+00,helena,Gestora IA,Gestão,"[""Gestão de Processos"",""Compliance""]",,Bot,green
860a9b04-38d3-4524-a07f-d1b3a95fd4de,Chatbot de Atendimento,chatbot,Assistente virtual para dúvidas de clientes,gemini-2.5-flash,"Você é um assistente de escritório contábil. Responda dúvidas sobre faturas, pagamentos e serviços.","{""model"":""gemini-2.5-flash"",""temperature"":0.5}",true,0,,,2025-11-28 12:57:40.528583+00,,2025-11-28 12:57:40.528583+00,,,,,,,
92937efc-666c-428f-b226-c3ecc163f92f,Detector de Fraude,fraud_detector,Detecta transações e padrões suspeitos,gemini-2.5-flash,Analise a transação e identifique sinais de fraude ou comportamento anômalo.,"{""model"":""gemini-2.5-flash"",""temperature"":0.2}",true,0,,,2025-11-28 12:57:40.528583+00,,2025-11-28 12:57:40.528583+00,,,,,,,
b479b5c6-e468-4c5f-b004-a8a2d7b27eee,Preditor de Churn,churn_predictor,Prevê clientes em risco de cancelamento,gemini-2.5-flash,Analise o histórico do cliente e preveja o risco de cancelamento (0-100).,"{""model"":""gemini-2.5-flash"",""temperature"":0.4}",true,0,,,2025-11-28 12:57:40.528583+00,,2025-11-28 12:57:40.528583+00,,,,,,,
